## 토큰, 레이블 구분자 : \t
## 토큰 구분자 : \n
## 문장 구분자 : \n\n
## 주석 : ##
## 칼럼명 : INDEX	WORD_FORM	LEMMA	POS	HEAD	DEPREL
## klue-dp-v1_train_00000_wikitree	해당 그림을 보면 디즈니 공주들이 브리트니 스피어스의 앨범이나 뮤직비디오, 화보 속 모습을 똑같이 재연했다.
17	심폐소생술을	심폐 소생술 을	NNG+NNG+JKO	18	NP_OBJ
18	꺼리고	꺼리 고	VV+EC	19	VP
19	있다.	있 다 .	VX+EF+SF	0	VP

## klue-dp-v1_train_00006_wikitree	검찰은 재판과정에서 전 전 대통령 일가가 숨겨놓은 재산이 아직도 수백억 원에 달한다고 밝혔다.
1	검찰은	검찰 은	NNG+JX	13	NP_SBJ
2	재판과정에서	재판 과정 에서	NNG+NNG+JKB	13	NP_AJT
3	전	전	NNP	5	NP
4	전	전	MMD	5	DP
5	대통령	대통령	NNG	6	NP
6	일가가	일가 가	NNG+JKS	7	NP_SBJ
7	숨겨놓은	숨기 어 놓 은	VV+EC+VX+ETM	8	VP_MOD
8	재산이	재산 이	NNG+JKS	12	NP_SBJ
9	아직도	아직 도	MAG+JX	12	AP
10	수백억	수백억	NR	11	DP
11	원에	원 에	NNB+JKB	12	NP_AJT
12	달한다고	달하 ㄴ다고	VV+EC	13	VP_AJT
13	밝혔다.	밝히 었 다 .	VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00007_wikitree	우선 열차 증차 시기를 애초 계획한 2018년에서 1년 앞당겨 2017년까지 70량을 늘리기로 했다.
1	우선	우선	MAG	12	AP
2	열차	열차	NNG	3	NP
3	증차	증차	NNG	4	NP
4	시기를	시기 를	NNG+JKO	9	NP_OBJ
5	애초	애초	NNG	6	NP
6	계획한	계획 하 ㄴ	NNG+XSV+ETM	7	VP_MOD
7	2018년에서	2018 년 에서	SN+NNB+JKB	9	NP_AJT
8	1년	1 년	SN+NNB	9	NP_OBJ
9	앞당겨	앞 당기 어	NNG+VV+EC	12	VP
10	2017년까지	2017 년 까지	SN+NNB+JX	12	NP_AJT
11	70량을	70 량 을	SN+NNB+JKO	12	NP_OBJ
12	늘리기로	늘리 기 로	VV+ETN+JKB	13	VP_AJT
13	했다.	하 였 다 .	VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00008_wikitree	그는 가까스로 구조돼 응급실로 옮겨졌고 이날 바타클랑에서는 이번 동시 다발 테러에서 가장 많은 100여 명의 사상자가 발생했다.
1	그는	그 는	NP+JX	3	NP_SBJ
2	가까스로	가까스로	MAG	3	AP
3	구조돼	구조 되 어	NNG+XSV+EC	5	VP
4	응급실로	응급실 로	NNG+JKB	5	NP_AJT
5	옮겨졌고	옮기 어 지 었 고	VV+EC+VX+EP+EC	17	VP
6	이날	이날	NNG	17	NP_AJT
7	바타클랑에서는	바타클랑 에서 는	NNP+JKB+JX	17	NP_AJT
8	이번	이번	NNG	11	NP
9	동시	동시	NNG	10	NP
10	다발	다발	NNG	11	NP
11	테러에서	테러 에서	NNG+JKB	17	NP_AJT
12	가장	가장	MAG	13	AP
13	많은	많 은	VA+ETM	16	VP_MOD
14	100여	100 여	SN+XSN	15	NP
15	명의	명 의	NNB+JKG	16	NP_MOD
16	사상자가	사상자 가	NNG+JKS	17	NP_SBJ
17	발생했다.	발생 하 였 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00009_wikitree	섬에 갇힌 채 홍씨의 염전에서 수년간 일하던 김씨 등은 김씨가 서울에 있는 어머니에게 보낸 편지가 경찰에 전달돼 2013년 2월 구출됐다.
1	섬에	섬 에	NNG+JKB	2	NP_AJT
2	갇힌	갇히 ㄴ	VV+ETM	3	VP_MOD
3	채	채	NNB	7	NP_AJT
4	홍씨의	홍 씨 의	NNP+NNB+JKG	5	NP_MOD
5	염전에서	염전 에서	NNG+JKB	7	NP_AJT
6	수년간	수년 간	NNG+XSN	7	NP_AJT
7	일하던	일 하 던	NNG+XSV+ETM	8	VP_MOD
8	김씨	김 씨	NNP+NNB	9	NP
9	등은	등 은	NNB+JX	20	NP_SBJ
10	김씨가	김 씨 가	NNP+NNB+JKS	14	NP_SBJ
11	서울에	서울 에	NNP+JKB	12	NP_AJT
12	있는	있 는	VV+ETM	13	VP_MOD
13	어머니에게	어머니 에게	NNG+JKB	14	NP_AJT
14	보낸	보내 ㄴ	VV+ETM	15	VP_MOD
15	편지가	편지 가	NNG+JKS	17	NP_SBJ
16	경찰에	경찰 에	NNG+JKB	17	NP_AJT
17	전달돼	전달 되 어	NNG+XSV+EC	20	VP
18	2013년	2013 년	SN+NNB	19	NP
19	2월	2 월	SN+NNB	20	NP_AJT
20	구출됐다.	구출 되 었 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00010_wikitree	길을 건너던 50대 여성이 두 차례 뺑소니 사고를 당한 뒤 또 다시 차량에 치여 숨지는 안타까운 사고가 발생했다.
1	길을	길 을	NNG+JKO	2	NP_OBJ
2	건너던	건너 던	VV+ETM	4	VP_MOD
3	50대	50 대	SN+NNB	4	NP
4	여성이	여성 이	NNG+JKS	14	NP_SBJ
5	두	두	MMN	6	DP
6	차례	차례	NNG	9	NP_AJT
7	뺑소니	뺑소니	NNG	8	NP
8	사고를	사고 를	NNG+JKO	9	NP_OBJ
9	당한	당하 ㄴ	VV+ETM	10	VP_MOD
10	뒤	뒤	NNG	14	NP_AJT
11	또	또	MAG	12	AP
12	다시	다시	MAG	14	AP
13	차량에	차량 에	NNG+JKB	14	NP_AJT
14	치여	치이 어	VV+EC	15	VP
15	숨지는	숨지 는	VV+ETM	17	VP_MOD
16	안타까운	안타깝 ㄴ	VA+ETM	17	VP_MOD
17	사고가	사고 가	NNG+JKS	18	NP_SBJ
18	발생했다.	발생 하 였 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00011_wikitree	세월호 참사 1주기를 맞은 전날(16일) 경찰은 '세월호 추모문화제'를 끝낸 뒤 거리행진을 하던 시민들을 막아섰다.
1	세월호	세월호	NNP	2	NP
2	참사	참사	NNG	3	NP
3	1주기를	1 주기 를	SN+NNG+JKO	4	NP_OBJ
4	맞은	맞 은	VV+ETM	5	VP_MOD
5	전날(16일)	전 날 ( 16 일 )	MMD+NNG+SS+SN+NNB+SS	14	NP_AJT
6	경찰은	경찰 은	NNG+JX	14	NP_SBJ
7	'세월호	' 세월호	SS+NNP	8	NP
8	추모문화제'를	추모 문화제 ' 를	NNG+NNG+SS+JKO	9	NP_OBJ
9	끝낸	끝내 ㄴ	VV+ETM	10	VP_MOD
10	뒤	뒤	NNG	12	NP_AJT
11	거리행진을	거리 행진 을	NNG+NNG+JKO	12	NP_OBJ
12	하던	하 던	VV+ETM	13	VP_MOD
13	시민들을	시민 들 을	NNG+XSN+JKO	14	NP_OBJ
14	막아섰다.	막 아 서 었 다 .	VV+EC+VX+EP+EF+SF	0	VP

## klue-dp-v1_train_00012_wikitree	18일 종합편성채널 JTBC '비정상회담'에는 오랜만에 브라운관으로 돌아온 한예슬 씨가 게스트로 출연했다.
1	18일	18 일	SN+NNB	11	NP_AJT
2	종합편성채널	종합 편성 채널	NNG+NNG+NNG	3	NP
3	JTBC	JTBC	SL	4	NP
4	'비정상회담'에는	' 비정상회담 ' 에 는	SS+NNP+SS+JKB+JX	11	NP_AJT
5	오랜만에	오랜만 에	NNG+JKB	7	NP_AJT
6	브라운관으로	브라운관 으로	NNG+JKB	7	NP_AJT
7	돌아온	돌 아 오 ㄴ	VV+EC+VV+ETM	9	VP_MOD
8	한예슬	한예슬	NNP	9	NP
9	씨가	씨 가	NNB+JKS	11	NP_SBJ
10	게스트로	게스트 로	NNG+JKB	11	NP_AJT
11	출연했다.	출연 하 였 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00013_wikitree	18일 오전까지 수면에 노출됐던 '세월호' 선수가 급기야 바닷속으로 자취를 감췄다.
1	18일	18 일	SN+NNB	2	NP
2	오전까지	오전 까지	NNG+JX	4	NP_AJT
3	수면에	수면 에	NNG+JKB	4	NP_AJT
4	노출됐던	노출 되 었 던	NNG+XSV+EP+ETM	6	VP_MOD
5	'세월호'	' 세월호 '	SS+NNP+SS	6	NP
6	선수가	선수 가	NNG+JKS	10	NP_SBJ
7	급기야	급기야	MAG	10	AP
8	바닷속으로	바닷속 으로	NNG+JKB	10	NP_AJT
9	자취를	자취 를	NNG+JKO	10	NP_OBJ
10	감췄다.	감추 었 다 .	VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00014_wikitree	자신의 가방을 검사하는 것이 기분 나쁘다는 게 이 여행객의 난동 이유였다.
1	자신의	자신 의	NNG+JKG	2	NP_MOD
2	가방을	가방 을	NNG+JKO	3	NP_OBJ
3	검사하는	검사 하 는	NNG+XSV+ETM	4	VP_MOD
4	것이	것 이	NNB+JKS	6	NP_SBJ
5	기분	기분	NNG	6	NP_SBJ
6	나쁘다는	나쁘 다는	VA+ETM	7	VP_MOD
7	게	것 이	NNB+JKS	11	NP_SBJ
8	이	이	MMD	9	DP
9	여행객의	여행객 의	NNG+JKG	11	NP_MOD
10	난동	난동	NNG	11	NP
11	이유였다.	이유 이 었 다 .	NNG+VCP+EP+EF+SF	0	VNP

## klue-dp-v1_train_00015_wikitree	전문교강사 자격증은 3D프린팅 소프트웨어와 하드웨어를 아우르는 지식뿐만 아니라 '전문 강의인'으로 인정받을 수 있는 자격증이다.
1	전문교강사	전문 교강사	NNG+NNG	2	NP
2	자격증은	자격증 은	NNG+JX	14	NP_SBJ
3	3D프린팅	3 D 프린팅	SN+SL+NNG	5	NP
4	소프트웨어와	소프트웨어 와	NNG+JC	5	NP_CNJ
5	하드웨어를	하드웨어 를	NNG+JKO	6	NP_OBJ
6	아우르는	아우르 는	VV+ETM	7	VP_MOD
7	지식뿐만	지식 뿐 만	NNG+JX+JX	8	NP_CMP
8	아니라	아니 라	VCN+EC	11	VP
9	'전문	' 전문	SS+NNG	10	NP
10	강의인'으로	강의인 ' 으로	NNG+SS+JKB	11	NP_AJT
11	인정받을	인정 받 을	NNG+XSV+ETM	12	VP_MOD
12	수	수	NNB	13	NP_SBJ
13	있는	있 는	VV+ETM	14	VP_MOD
14	자격증이다.	자격증 이 다 .	NNG+VCP+EF+SF	0	VNP

## klue-dp-v1_train_00016_wikitree	세상에는 늘 억울함이 존재하고 직접 내 일이 아닐 때엔 이러한 사건들이 기사 그 이상의 문제가 아니라고 저 또한 생각했습니다.
1	세상에는	세상 에 는	NNG+JKB+JX	4	NP_AJT
2	늘	늘	MAG	4	AP
3	억울함이	억울하 ㅁ 이	VA+ETN+JKS	4	VP_SBJ
4	존재하고	존재 하 고	NNG+XSV+EC	16	VP
5	직접	직접	MAG	8	AP
6	내	나 의	NP+JKG	7	NP_MOD
7	일이	일 이	NNG+JKC	8	NP_CMP
8	아닐	아니 ㄹ	VCN+ETM	9	VP_MOD
9	때엔	때 에 ㄴ	NNG+JKB+JX	16	NP_AJT
10	이러한	이러하 ㄴ	VA+ETM	11	VP_MOD
11	사건들이	사건 들 이	NNG+XSN+JKS	16	NP_SBJ
12	기사	기사	NNG	14	NP
13	그	그	MMD	14	DP
14	이상의	이상 의	NNG+JKG	15	NP_MOD
15	문제가	문제 가	NNG+JKC	16	NP_CMP
16	아니라고	아니 라고	VCN+EC	19	VP_CMP
17	저	저	NP	19	NP_SBJ
18	또한	또한	MAG	19	AP
19	생각했습니다.	생각 하 였 습니다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00017_wikitree	박 씨 인터뷰와 화보는 '인스타일' 1월호에서 만나볼 수 있다.
1	박	박	NNP	2	NP
2	씨	씨	NNB	4	NP
3	인터뷰와	인터뷰 와	NNG+JC	4	NP_CNJ
4	화보는	화보 는	NNG+JX	7	NP_OBJ
5	'인스타일'	' 인스타일 '	SS+NNP+SS	6	NP
6	1월호에서	1 월 호 에서	SN+NNB+NNB+JKB	7	NP_AJT
7	만나볼	만나 아 보 ㄹ	VV+EC+VX+ETM	8	VP_MOD
8	수	수	NNB	9	NP_SBJ
9	있다.	있 다 .	VV+EF+SF	0	VP

## klue-dp-v1_train_00018_wikitree	이 씨 등 참가자들은 세월호 모형배를 수레로 운반하며 삼보일배를 하고 있다.
1	이	이	NNP	2	NP
2	씨	씨	NNG	3	NP
3	등	등	NNB	4	NP
4	참가자들은	참가자 들 은	NNG+XSN+JX	8	NP_SBJ
5	세월호	세월호	NNP	6	NP
6	모형배를	모형 배 를	NNG+NNG+JKO	8	NP_OBJ
7	수레로	수레 로	NNG+JKB	8	NP_AJT
8	운반하며	운반 하 며	NNG+XSV+EC	10	VP
9	삼보일배를	삼보일배 를	NNG+JKO	10	NP_OBJ
10	하고	하 고	VV+EC	11	VP
11	있다.	있 다 .	VX+EF+SF	0	VP

## klue-dp-v1_train_00019_wikitree	지난 방송에서 알려준 레시피는 양이 너무 많다는 지적에 백씨는 이날 방송에서 싱글족을 위한 미니 만능간장 레시피를 공개했다.
1	지난	지나 ㄴ	VV+ETM	2	VP_MOD
2	방송에서	방송 에서	NNG+JKB	3	NP_AJT
3	알려준	알리 어 주 ㄴ	VV+EC+VX+ETM	4	VP_MOD
4	레시피는	레시피 는	NNG+JX	7	NP_SBJ
5	양이	양 이	NNG+JKS	7	NP_SBJ
6	너무	너무	MAG	7	AP
7	많다는	많 다는	VA+ETM	8	VP_MOD
8	지적에	지적 에	NNG+JKB	17	NP_AJT
9	백씨는	백 씨 는	NNP+NNB+JX	17	NP_SBJ
10	이날	이날	NNG	11	NP
11	방송에서	방송 에서	NNG+JKB	17	NP_AJT
12	싱글족을	싱글족 을	NNG+JKO	13	NP_OBJ
13	위한	위하 ㄴ	VV+ETM	16	VP_MOD
14	미니	미니	NNG	15	NP
15	만능간장	만능 간장	NNG+NNG	16	NP
16	레시피를	레시피 를	NNG+JKO	17	NP_OBJ
17	공개했다.	공개 하 였 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00020_wikitree	여성 체육 교사 신규임용도 2010년부터 3년간 0명을 기록하다가 2013년 5명, 2014년 5명, 작년 8명 등 증가세를 보인다.
1	여성	여성	NNG	3	NP
2	체육	체육	NNG	3	NP
3	교사	교사	NNG	4	NP
4	신규임용도	신규 임용 도	NNG+NNG+JX	8	NP_SBJ
5	2010년부터	2010 년 부터	SN+NNB+JX	6	NP_AJT
6	3년간	3 년 간	SN+NNB+XSN	8	NP_AJT
7	0명을	0 명 을	SN+NNB+JKO	8	NP_OBJ
8	기록하다가	기록 하 다가	NNG+XSV+EC	17	VP
9	2013년	2013 년	SN+NNB	10	NP
10	5명,	5 명 ,	SN+NNB+SP	14	NP_CNJ
11	2014년	2014 년	SN+NNB	12	NP
12	5명,	5 명 ,	SN+NNB+SP	14	NP_CNJ
13	작년	작년	NNG	14	NP
14	8명	8 명	SN+NNB	15	NP
15	등	등	NNB	17	NP_AJT
16	증가세를	증가세 를	NNG+JKO	17	NP_OBJ
17	보인다.	보이 ㄴ다 .	VV+EF+SF	0	VP

## klue-dp-v1_train_00021_wikitree	새누리당은 4일께 양당 원내지도부 차원의 접촉을 통해 국정조사 정상화를 위한 해법을 모색할 예정이지만 여야의 입장이 첨예하게 맞서고 있어 진통이 예상된다.
1	새누리당은	새누리당 은	NNP+JX	12	NP_SBJ
2	4일께	4 일 께	SN+NNB+XSN	12	NP_AJT
3	양당	양당	NNG	4	NP
4	원내지도부	원내 지도부	NNG+NNG	5	NP
5	차원의	차원 의	NNG+JKG	6	NP_MOD
6	접촉을	접촉 을	NNG+JKO	7	NP_OBJ
7	통해	통하 여	VV+EC	12	VP
8	국정조사	국정 조사	NNG+NNG	9	NP
9	정상화를	정상 화 를	NNG+XSN+JKO	10	NP_OBJ
10	위한	위하 ㄴ	VV+ETM	11	VP_MOD
11	해법을	해법 을	NNG+JKO	12	NP_OBJ
12	모색할	모색 하 ㄹ	NNG+XSV+ETM	13	VP_MOD
13	예정이지만	예정 이 지만	NNG+VCP+EC	20	VNP
14	여야의	여 야 의	NNG+NNG+JKG	15	NP_MOD
15	입장이	입장 이	NNG+JKS	17	NP_SBJ
16	첨예하게	첨예하 게	VA+EC	17	VP_AJT
17	맞서고	맞서 고	VV+EC	18	VP
18	있어	있 어	VX+EC	20	VP
19	진통이	진통 이	NNG+JKS	20	NP_SBJ
20	예상된다.	예상 되 ㄴ다 .	NNG+XSV+EF+SF	0	VP

## klue-dp-v1_train_00022_wikitree	그러나 최근 전 검사는 검사실에서 성관계가 있었다는 사실도 인정한 것으로 알려졌다.
1	그러나	그러나	MAJ	11	AP
2	최근	최근	NNG	11	NP_AJT
3	전	전	NNP	4	NP
4	검사는	검사 는	NNG+JX	9	NP_SBJ
5	검사실에서	검사실 에서	NNG+JKB	7	NP_AJT
6	성관계가	성 관계 가	NNG+NNG+JKS	7	NP_SBJ
7	있었다는	있 었 다는	VV+EP+ETM	8	VP_MOD
8	사실도	사실 도	NNG+JX	9	NP_OBJ
9	인정한	인정 하 ㄴ	NNG+XSV+ETM	10	VP_MOD
10	것으로	것 으로	NNB+JKB	11	NP_AJT
11	알려졌다.	알리 어 지 었 다 .	VV+EC+VX+EP+EF+SF	0	VP

## klue-dp-v1_train_00023_wikitree	장로회가 차별금지법안의 반대 이유로 꼽은 '사회적 분열의 원인을 제공할 갈등 요소'는 종교적 차별을 금지하는 조항과 성 정체성에 대한 차별 금지, 사상 또는 정치적 의견에 대한 차별 금지 조항입니다.
1	장로회가	장로회 가	NNG+JKS	5	NP_SBJ
2	차별금지법안의	차별 금지 법안 의	NNG+NNG+NNG+JKG	4	NP_MOD
3	반대	반대	NNG	4	NP
4	이유로	이유 로	NNG+JKB	5	NP_AJT
5	꼽은	꼽 은	VV+ETM	11	VP_MOD
6	'사회적	' 사회 적	SS+NNG+XSN	7	NP
7	분열의	분열 의	NNG+JKG	8	NP_MOD
8	원인을	원인 을	NNG+JKO	9	NP_OBJ
9	제공할	제공 하 ㄹ	NNG+XSV+ETM	11	VP_MOD
10	갈등	갈등	NNG	11	NP
11	요소'는	요소 ' 는	NNG+SS+JX	28	NP_SBJ
12	종교적	종교 적	NNG+XSN	13	NP
13	차별을	차별 을	NNG+JKO	14	NP_OBJ
14	금지하는	금지 하 는	NNG+XSV+ETM	15	VP_MOD
15	조항과	조항 과	NNG+JC	28	NP_CNJ
16	성	성	NNG	17	NP
17	정체성에	정체 성 에	NNG+XSN+JKB	18	NP_AJT
18	대한	대하 ㄴ	VV+ETM	20	VP_MOD
19	차별	차별	NNG	20	NP
20	금지,	금지 ,	NNG+SP	28	NP_CNJ
21	사상	사상	NNG	22	NP
22	또는	또는	MAG	24	AP
23	정치적	정치 적	NNG+XSN	24	NP
24	의견에	의견 에	NNG+JKB	25	NP_AJT
25	대한	대하 ㄴ	VV+ETM	26	VP_MOD
26	차별	차별	NNG	27	NP
27	금지	금지	NNG	28	NP
28	조항입니다.	조항 이 ㅂ니다 .	NNG+VCP+EF+SF	0	VNP

## klue-dp-v1_train_00024_wikitree	또한 대학과 그린시스템, 하드웨어, 반도체 등을 준비해 온 중소 업체들의 아이디어 제품들도 만나 볼 수 있었다.
1	또한	또한	MAG	13	AP
2	대학과	대학 과	NNG+JC	5	NP_CNJ
3	그린시스템,	그린 시스템 ,	NNG+NNG+SP	5	NP_CNJ
4	하드웨어,	하드 웨어 ,	NNG+NNG+SP	5	NP_CNJ
5	반도체	반도체	NNG	6	NP
6	등을	등 을	NNB+JKO	7	NP_OBJ
7	준비해	준비 하 여	NNG+XSV+EC	8	VP
8	온	오 ㄴ	VX+ETM	10	VP_MOD
9	중소	중소	NNG	10	NP
10	업체들의	업체 들 의	NNG+XSN+JKG	12	NP_MOD
11	아이디어	아이디어	NNG	12	NP
12	제품들도	제품 들 도	NNG+XSN+JX	13	NP_OBJ
13	만나	만나 아	VV+EC	14	VP
14	볼	보 ㄹ	VV+ETM	15	VP_MOD
15	수	수	NNB	16	NP_SBJ
16	있었다.	있 었 다 .	VA+EP+EF+SF	0	VP

## klue-dp-v1_train_00025_wikitree	상자에는 그의 죽음을 추모하는 글귀도 적혀있다.
1	상자에는	상자 에 는	NNG+JKB+JX	6	NP_AJT
2	그의	그 의	NP+JKG	3	NP_MOD
3	죽음을	죽 음 을	VV+ETN+JKO	4	VP_OBJ
4	추모하는	추모 하 는	NNG+XSV+ETM	5	VP_MOD
5	글귀도	글귀 도	NNG+JX	6	NP_SBJ
6	적혀있다.	적히 어 있 다 .	VV+EC+VX+EF+SF	0	VP

## klue-dp-v1_train_00026_wikitree	영화 '인터스텔라'가 600만 고지를 넘으며 크리스토퍼 놀란 감독의 한국 최고 흥행작으로 자리매김했다.
1	영화	영화	NNG	2	NP
